Rank,Time,Athlete,Year,Event,Gender
1561,11.01,Merlene Ottey,1992,100m,Female
1561,11.01,Irina Privalova,1992,100m,Female
1717,11.02,Gail Devers USA,1992,100m,Female
1717,11.02,Irina Privalova,1992,100m,Female
1717,11.02,Gwen Torrence,1992,100m,Female
2045,11.04,Ludmila Engquist,1992,100m,Female
2226,11.05,Irina Slyusar,1992,100m,Female
2226,11.05,Gail Devers,1992,100m,Female
2637,11.07,Evelyn Ashford,1992,100m,Female
2637,11.07,Olga Bogoslovskaya,1992,100m,Female
2637,11.07,Merlene Ottey,1992,100m,Female
2883,11.08,Marina Trandenkova,1992,100m,Female
2883,11.08,Irina Privalova,1992,100m,Female
3127,11.09,Gwen Torrence USA,1992,100m,Female
3127,11.09,Carlette Guidry USA,1992,100m,Female
3127,11.09,Marina Trandenkova,1992,100m,Female
176,10.82,Gail Devers,1993,100m,Female
176,10.82,Merlene Ottey,1993,100m,Female
311,10.86,Gwen Torrence,1993,100m,Female
342,10.87,Merlene Ottey,1993,100m,Female
342,10.87,Gwen Torrence,1993,100m,Female
432,10.89,Gwen Torrence,1993,100m,Female
482,10.9,Merlene Ottey,1993,100m,Female
688,10.93,Merlene Ottey,1993,100m,Female
768,10.94,Merlene Ottey,1993,100m,Female
768,10.94,Irina Privalova,1993,100m,Female
937,10.96,Gail Devers USA,1993,100m,Female
937,10.96,Merlene Ottey,1993,100m,Female
937,10.96,Irina Privalova,1993,100m,Female
1049,10.97,Gwen Torrence,1993,100m,Female
1049,10.97,Mary Onyali,1993,100m,Female
1152,10.98,Gwen Torrence,1993,100m,Female
1423,11.0,Merlene Ottey,1993,100m,Female
1423,11.0,Irina Privalova RUS,1993,100m,Female
1423,11.0,Gail Devers,1993,100m,Female
1561,11.01,Merlene Ottey,1993,100m,Female
1717,11.02,Gwen Torrence,1993,100m,Female
1717,11.02,Liu Xiaomei,1993,100m,Female
1885,11.03,Gail Devers,1993,100m,Female
1885,11.03,Gwen Torrence,1993,100m,Female
2045,11.04,Gail Devers,1993,100m,Female
2045,11.04,Gwen Torrence,1993,100m,Female
2226,11.05,Mary Onyali,1993,100m,Female
2402,11.06,Irina Privalova,1993,100m,Female
2402,11.06,Mary Onyali,1993,100m,Female
2883,11.08,Zhanna Block,1993,100m,Female
2883,11.08,Irina Privalova,1993,100m,Female
3127,11.09,Merlene Ottey,1993,100m,Female
3127,11.09,Zhanna Block,1993,100m,Female
3127,11.09,Irina Privalova,1993,100m,Female
93,10.77,Irina Privalova,1994,100m,Female
103,10.78,Merlene Ottey,1994,100m,Female
176,10.82,Gwen Torrence,1994,100m,Female
203,10.83,Gwen Torrence,1994,100m,Female
275,10.85,Gwen Torrence,1994,100m,Female
342,10.87,Gwen Torrence,1994,100m,Female
432,10.89,Gwen Torrence,1994,100m,Female
482,10.9,Irina Privalova,1994,100m,Female
608,10.92,Merlene Ottey,1994,100m,Female
856,10.95,Merlene Ottey,1994,100m,Female
856,10.95,Gwen Torrence USA,1994,100m,Female
856,10.95,Gwen Torrence,1994,100m,Female
1152,10.98,Irina Privalova RUS,1994,100m,Female
1269,10.99,Zhanna Block,1994,100m,Female
1423,11.0,Zhanna Block,1994,100m,Female
1423,11.0,Irina Privalova RUS,1994,100m,Female
1561,11.01,Juliet Cuthbert,1994,100m,Female
1561,11.01,Zhanna Block,1994,100m,Female
1717,11.02,Zhanna Block,1994,100m,Female
1717,11.02,Merlene Ottey,1994,100m,Female
1717,11.02,Irina Privalova,1994,100m,Female
1885,11.03,Holli Hyche,1994,100m,Female
1885,11.03,Irina Privalova,1994,100m,Female
1885,11.03,Mary Onyali,1994,100m,Female
2226,11.05,Gwen Torrence,1994,100m,Female
2402,11.06,Mary Onyali,1994,100m,Female
2637,11.07,Gwen Torrence USA,1994,100m,Female
2637,11.07,Cheryl Taplin USA,1994,100m,Female
2637,11.07,Mary Onyali,1994,100m,Female
2637,11.07,Irina Privalova,1994,100m,Female
2883,11.08,Zhanna Block,1994,100m,Female
3127,11.09,Holli Hyche,1994,100m,Female
3127,11.09,Gwen Torrence,1994,100m,Female
239,10.84,Gwen Torrence,1995,100m,Female
275,10.85,Gwen Torrence,1995,100m,Female
275,10.85,Merlene Ottey,1995,100m,Female
482,10.9,Irina Privalova,1995,100m,Female
608,10.92,Merlene Ottey,1995,100m,Female
768,10.94,Merlene Ottey,1995,100m,Female
937,10.96,Irina Privalova,1995,100m,Female
1423,11.0,Merlene Ottey,1995,100m,Female
1423,11.0,Gwen Torrence,1995,100m,Female
1561,11.01,Zhanna Block,1995,100m,Female
1561,11.01,Irina Privalova,1995,100m,Female
1717,11.02,Chryste Gaines,1995,100m,Female
1885,11.03,Carlette Guidry,1995,100m,Female
2045,11.04,Gwen Torrence,1995,100m,Female
2045,11.04,Melanie Paschke,1995,100m,Female
2045,11.04,Gail Devers USA,1995,100m,Female
2402,11.06,Juliet Cuthbert,1995,100m,Female
2402,11.06,Zhanna Block,1995,100m,Female
2637,11.07,Carlette Guidry,1995,100m,Female
2637,11.07,Zhanna Block,1995,100m,Female
2883,11.08,Melanie Paschke GER,1995,100m,Female
2883,11.08,Zhanna Block,1995,100m,Female
2883,11.08,Carlette Guidry,1995,100m,Female
3127,11.09,Sheila Echols USA,1995,100m,Female
3127,11.09,Zhanna Block,1995,100m,Female
3127,11.09,Juliet Cuthbert,1995,100m,Female
3127,11.09,Carlette Guidry,1995,100m,Female
3127,11.09,Ekateríni Thánou,1995,100m,Female
62,10.74,Merlene Ottey,1996,100m,Female
176,10.82,Gwen Torrence,1996,100m,Female
203,10.83,Gail Devers,1996,100m,Female
239,10.84,Gail Devers,1996,100m,Female
275,10.85,Gwen Torrence,1996,100m,Female
432,10.89,Gail Devers,1996,100m,Female
538,10.91,Gail Devers,1996,100m,Female
608,10.92,Merlene Ottey,1996,100m,Female
608,10.92,D'Andre Hill,1996,100m,Female
608,10.92,Gail Devers,1996,100m,Female
608,10.92,Gwen Torrence,1996,100m,Female
688,10.93,Merlene Ottey,1996,100m,Female
768,10.94,Gail Devers,1996,100m,Female
768,10.94,Merlene Ottey,1996,100m,Female
856,10.95,Merlene Ottey,1996,100m,Female
937,10.96,Gwen Torrence,1996,100m,Female
937,10.96,Gail Devers,1996,100m,Female
937,10.96,Chryste Gaines,1996,100m,Female
937,10.96,Inger Miller,1996,100m,Female
1049,10.97,D'Andre Hill,1996,100m,Female
1049,10.97,Gwen Torrence,1996,100m,Female
1152,10.98,Gwen Torrence,1996,100m,Female
1152,10.98,Gail Devers,1996,100m,Female
1152,10.98,Inger Miller,1996,100m,Female
1152,10.98,Merlene Ottey,1996,100m,Female
1269,10.99,Gwen Torrence,1996,100m,Female
1269,10.99,D'Andre Hill,1996,100m,Female
1269,10.99,Gail Devers,1996,100m,Female
1423,11.0,Merlene Ottey,1996,100m,Female
1423,11.0,Inger Miller,1996,100m,Female
1423,11.0,D'Andre Hill,1996,100m,Female
1423,11.0,Gail Devers,1996,100m,Female
1423,11.0,Chandra Sturrup,1996,100m,Female
1423,11.0,Gwen Torrence,1996,100m,Female
1423,11.0,Mary Onyali,1996,100m,Female
1717,11.02,Chryste Gaines,1996,100m,Female
1717,11.02,Galina Malchugina RUS,1996,100m,Female
1717,11.02,Merlene Ottey,1996,100m,Female
1885,11.03,D'Andre Hill,1996,100m,Female
1885,11.03,Merlene Ottey,1996,100m,Female
1885,11.03,Irina Privalova,1996,100m,Female
1885,11.03,Inger Miller,1996,100m,Female
2045,11.04,Merlene Ottey,1996,100m,Female
2045,11.04,Chryste Gaines,1996,100m,Female
2045,11.04,Mary Onyali,1996,100m,Female
2402,11.06,Carlette Guidry,1996,100m,Female
2402,11.06,Dannette Young,1996,100m,Female
2402,11.06,Melanie Paschke,1996,100m,Female
2402,11.06,Mary Onyali,1996,100m,Female
2402,11.06,Marina Trandenkova RUS,1996,100m,Female
2402,11.06,Gwen Torrence,1996,100m,Female
2402,11.06,Chandra Sturrup,1996,100m,Female
2402,11.06,Juliet Cuthbert,1996,100m,Female
2402,11.06,Marina Trandenkova,1996,100m,Female
2402,11.06,Chryste Gaines,1996,100m,Female
2637,11.07,Merlene Ottey,1996,100m,Female
2637,11.07,Carlette Guidry,1996,100m,Female
2637,11.07,Zhanna Block,1996,100m,Female
2637,11.07,Chryste Gaines,1996,100m,Female
2637,11.07,Marina Trandenkova,1996,100m,Female
2637,11.07,Natalya Voronova,1996,100m,Female
2637,11.07,Chandra Sturrup,1996,100m,Female
2637,11.07,Juliet Cuthbert,1996,100m,Female
2637,11.07,Gwen Torrence,1996,100m,Female
2883,11.08,Dannette Young,1996,100m,Female
2883,11.08,Irina Privalova,1996,100m,Female
2883,11.08,Irina Privalova RUS,1996,100m,Female
2883,11.08,Mary Onyali,1996,100m,Female
2883,11.08,Juliet Cuthbert,1996,100m,Female
3127,11.09,Mary Onyali,1996,100m,Female
80,10.76,Marion Jones,1997,100m,Female
126,10.79,Li Xuemei,1997,100m,Female
153,10.81,Marion Jones,1997,100m,Female
203,10.83,Marion Jones,1997,100m,Female
203,10.83,Merlene Ottey,1997,100m,Female
275,10.85,Zhanna Block,1997,100m,Female
275,10.85,Merlene Ottey,1997,100m,Female
389,10.88,Gail Devers,1997,100m,Female
432,10.89,Gail Devers,1997,100m,Female
432,10.89,Liu Xiaomei,1997,100m,Female
482,10.9,Marion Jones,1997,100m,Female
482,10.9,Zhanna Block,1997,100m,Female
482,10.9,Li Xuemei,1997,100m,Female
538,10.91,Marion Jones,1997,100m,Female
608,10.92,Marion Jones,1997,100m,Female
768,10.94,Marion Jones,1997,100m,Female
937,10.96,Merlene Ottey,1997,100m,Female
937,10.96,Marion Jones,1997,100m,Female
937,10.96,Gail Devers,1997,100m,Female
1049,10.97,Marion Jones,1997,100m,Female
1152,10.98,Marion Jones,1997,100m,Female
1269,10.99,Gail Devers,1997,100m,Female
1423,11.0,Merlene Ottey,1997,100m,Female
1561,11.01,Zhanna Block,1997,100m,Female
1717,11.02,Gail Devers USA,1997,100m,Female
1717,11.02,Zhanna Block,1997,100m,Female
1885,11.03,Christine Arron,1997,100m,Female
1885,11.03,Sevatheda Fynes,1997,100m,Female
1885,11.03,Gail Devers,1997,100m,Female
1885,11.03,Li Xuemei,1997,100m,Female
1885,11.03,Liu Xiaomei,1997,100m,Female
2045,11.04,Sevatheda Fynes,1997,100m,Female
2045,11.04,Inger Miller,1997,100m,Female
2045,11.04,Christine Arron,1997,100m,Female
2226,11.05,Xuemei,1997,100m,Female
2226,11.05,Andrea Philipp,1997,100m,Female
2226,11.05,Zhanna Block UKR,1997,100m,Female
2226,11.05,Merlene Ottey,1997,100m,Female
2226,11.05,Christine Arron,1997,100m,Female
2226,11.05,Inger Miller,1997,100m,Female
2402,11.06,Chryste Gaines,1997,100m,Female
2402,11.06,Marion Jones,1997,100m,Female
2402,11.06,Gail Devers,1997,100m,Female
2402,11.06,Tian Yumei,1997,100m,Female
2637,11.07,Zhanna Block,1997,100m,Female
2637,11.07,Gwen Torrence,1997,100m,Female
2637,11.07,Christy Opara,1997,100m,Female
2637,11.07,Inger Miller,1997,100m,Female
2637,11.07,Sevatheda Fynes,1997,100m,Female
2637,11.07,Liu Xiaomei,1997,100m,Female
2883,11.08,Zhanna Block,1997,100m,Female
2883,11.08,Gail Devers,1997,100m,Female
2883,11.08,Merlene Ottey,1997,100m,Female
3127,11.09,Sevatheda Fynes,1997,100m,Female
3127,11.09,Marion Jones,1997,100m,Female
3127,11.09,Pei Fang,1997,100m,Female
11,10.65,Marion Jones,1998,100m,Female
31,10.71,Marion Jones,1998,100m,Female
31,10.71,Marion Jones USA,1998,100m,Female
42,10.72,Marion Jones USA,1998,100m,Female
42,10.72,Marion Jones,1998,100m,Female
52,10.73,Christine Arron,1998,100m,Female
69,10.75,Marion Jones,1998,100m,Female
93,10.77,Marion Jones,1998,100m,Female
126,10.79,Marion Jones,1998,100m,Female
142,10.8,Marion Jones,1998,100m,Female
153,10.81,Christine Arron,1998,100m,Female
153,10.81,Marion Jones,1998,100m,Female
176,10.82,Marion Jones,1998,100m,Female
203,10.83,Irina Privalova,1998,100m,Female
203,10.83,Marion Jones,1998,100m,Female
239,10.84,Marion Jones,1998,100m,Female
275,10.85,Christine Arron,1998,100m,Female
311,10.86,Marion Jones,1998,100m,Female
342,10.87,Marion Jones,1998,100m,Female
342,10.87,Ekateríni Thánou,1998,100m,Female
389,10.88,Marion Jones,1998,100m,Female
432,10.89,Chryste Gaines USA,1998,100m,Female
482,10.9,Marion Jones,1998,100m,Female
608,10.92,Ekateríni Thánou,1998,100m,Female
608,10.92,Zhanna Block,1998,100m,Female
856,10.95,Christine Arron,1998,100m,Female
856,10.95,Li Xuemei,1998,100m,Female
856,10.95,Chandra Sturrup,1998,100m,Female
856,10.95,Chryste Gaines,1998,100m,Female
937,10.96,Chryste Gaines USA,1998,100m,Female
1049,10.97,Debbie Ferguson-McKenzie,1998,100m,Female
1049,10.97,Chandra Sturrup,1998,100m,Female
1152,10.98,Debbie Ferguson-McKenzie,1998,100m,Female
1152,10.98,Christine Arron,1998,100m,Female
1269,10.99,Beverly McDonald,1998,100m,Female
1269,10.99,Ekateríni Thánou,1998,100m,Female
1269,10.99,Christine Arron,1998,100m,Female
1269,10.99,Christine Arron FRA,1998,100m,Female
1423,11.0,Chryste Gaines,1998,100m,Female
1423,11.0,Zhanna Block,1998,100m,Female
1561,11.01,Marion Jones,1998,100m,Female
1561,11.01,Li Xuemei,1998,100m,Female
1561,11.01,Chryste Gaines USA,1998,100m,Female
1561,11.01,Inger Miller,1998,100m,Female
1561,11.01,Merlene Ottey,1998,100m,Female
1717,11.02,Merlene Ottey,1998,100m,Female
1717,11.02,Zhanna Block,1998,100m,Female
1717,11.02,Sevatheda Fynes,1998,100m,Female
1717,11.02,Irina Privalova,1998,100m,Female
1717,11.02,Ekateríni Thánou,1998,100m,Female
1885,11.03,Inger Miller,1998,100m,Female
2045,11.04,Irina Privalova RUS,1998,100m,Female
2045,11.04,Chryste Gaines,1998,100m,Female
2045,11.04,Inger Miller,1998,100m,Female
2045,11.04,Ekateríni Thánou,1998,100m,Female
2226,11.05,Beverly McDonald,1998,100m,Female
2226,11.05,Sevatheda Fynes,1998,100m,Female
2226,11.05,Zhanna Block,1998,100m,Female
2226,11.05,Inger Miller,1998,100m,Female
2226,11.05,Merlene Ottey,1998,100m,Female
2226,11.05,Mary Onyali,1998,100m,Female
2402,11.06,Sevatheda Fynes,1998,100m,Female
2402,11.06,Zhanna Block,1998,100m,Female
2402,11.06,Inger Miller,1998,100m,Female
2637,11.07,Inger Miller,1998,100m,Female
2637,11.07,Pauline Davis-Thompson,1998,100m,Female
2637,11.07,Merlene Ottey,1998,100m,Female
2637,11.07,Zhanna Block,1998,100m,Female
2637,11.07,Melanie Paschke,1998,100m,Female
2637,11.07,Sevatheda Fynes,1998,100m,Female
2883,11.08,Sevatheda Fynes BAH 17.10.74,1998,100m,Female
2883,11.08,Zhanna Block UKR,1998,100m,Female
2883,11.08,Chryste Gaines,1998,100m,Female
2883,11.08,Philomina Mensah,1998,100m,Female
2883,11.08,Beverly McDonald,1998,100m,Female
2883,11.08,Endurance Ojokolo,1998,100m,Female
2883,11.08,Zhanna Block,1998,100m,Female
3127,11.09,Inger Miller USA 12.06.72,1998,100m,Female
3127,11.09,Chandra Sturrup,1998,100m,Female
3127,11.09,Sevatheda Fynes,1998,100m,Female
3127,11.09,Zhanna Block,1998,100m,Female
24,10.7,Marion Jones,1999,100m,Female
80,10.76,Marion Jones,1999,100m,Female
126,10.79,Inger Miller,1999,100m,Female
142,10.8,Marion Jones,1999,100m,Female
153,10.81,Inger Miller,1999,100m,Female
203,10.83,Marion Jones,1999,100m,Female
203,10.83,Ekateríni Thánou,1999,100m,Female
239,10.84,Ekateríni Thánou,1999,100m,Female
311,10.86,Ekateríni Thánou,1999,100m,Female
311,10.86,Inger Miller,1999,100m,Female
482,10.9,Glory Alozie NGR,1999,100m,Female
538,10.91,Ekateríni Thánou,1999,100m,Female
538,10.91,Sevatheda Fynes,1999,100m,Female
608,10.92,Ekateríni Thánou,1999,100m,Female
768,10.94,Zhanna Block,1999,100m,Female
768,10.94,Gail Devers,1999,100m,Female
856,10.95,Zhanna Block,1999,100m,Female
856,10.95,Gail Devers,1999,100m,Female
937,10.96,Chandra Sturrup,1999,100m,Female
1049,10.97,Christine Arron,1999,100m,Female
1049,10.97,Zhanna Block,1999,100m,Female
1152,10.98,Debbie Ferguson-McKenzie,1999,100m,Female
1152,10.98,Zhanna Block,1999,100m,Female
1152,10.98,Sevatheda Fynes,1999,100m,Female
1269,10.99,Merlene Ottey,1999,100m,Female
1423,11.0,Christine Arron,1999,100m,Female
1423,11.0,Chandra Sturrup,1999,100m,Female
1561,11.01,Glory Alozie NGR 30.12.77 1,1999,100m,Female
1561,11.01,Merlene Ottey,1999,100m,Female
1717,11.02,Inger Miller,1999,100m,Female
1717,11.02,Zhanna Block,1999,100m,Female
1717,11.02,Chandra Sturrup,1999,100m,Female
1885,11.03,Peta-Gaye Dowdie JAM,1999,100m,Female
1885,11.03,Sevatheda Fynes,1999,100m,Female
1885,11.03,Ekateríni Thánou,1999,100m,Female
1885,11.03,Merlene Ottey,1999,100m,Female
1885,11.03,Philomina Mensah,1999,100m,Female
1885,11.03,Mercy Nku,1999,100m,Female
2045,11.04,Angela Williams,1999,100m,Female
2045,11.04,Christine Arron,1999,100m,Female
2226,11.05,Debbie Ferguson-McKenzie BAH,1999,100m,Female
2226,11.05,Merlene Ottey,1999,100m,Female
2226,11.05,Zhanna Block,1999,100m,Female
2226,11.05,Irina Privalova,1999,100m,Female
2402,11.06,Marion Jones USA,1999,100m,Female
2402,11.06,Inger Miller,1999,100m,Female
2402,11.06,Peta-Gaye Dowdie,1999,100m,Female
2402,11.06,Ekateríni Thánou,1999,100m,Female
2402,11.06,Debbie Ferguson-McKenzie,1999,100m,Female
2402,11.06,Andrea Philipp,1999,100m,Female
2402,11.06,Chandra Sturrup,1999,100m,Female
2637,11.07,Marion Jones,1999,100m,Female
2637,11.07,Merlene Ottey,1999,100m,Female
2637,11.07,Inger Miller,1999,100m,Female
2883,11.08,LaTasha Jenkins,1999,100m,Female
2883,11.08,Sevatheda Fynes,1999,100m,Female
2883,11.08,Christine Arron,1999,100m,Female
3127,11.09,Debbie Ferguson-McKenzie BAH,1999,100m,Female
3127,11.09,Liliana Allen MEX 24.05.70,1999,100m,Female
3127,11.09,Chandra Sturrup,1999,100m,Female
3127,11.09,Philomina Mensah,1999,100m,Female
3127,11.09,Mercy Nku,1999,100m,Female
103,10.78,Marion Jones,2000,100m,Female
203,10.83,Marion Jones,2000,100m,Female
239,10.84,Marion Jones,2000,100m,Female
311,10.86,Chandra Sturrup,2000,100m,Female
389,10.88,Marion Jones,2000,100m,Female
538,10.91,Marion Jones,2000,100m,Female
538,10.91,Ekateríni Thánou,2000,100m,Female
538,10.91,Inger Miller,2000,100m,Female
608,10.92,Marion Jones,2000,100m,Female
688,10.93,Ekateríni Thánou,2000,100m,Female
688,10.93,Marion Jones,2000,100m,Female
688,10.93,Zhanna Block,2000,100m,Female
768,10.94,Zhanna Block,2000,100m,Female
856,10.95,Marion Jones,2000,100m,Female
937,10.96,Eldece Clarke-Lewis,2000,100m,Female
937,10.96,Debbie Ferguson-McKenzie,2000,100m,Female
937,10.96,Inger Miller,2000,100m,Female
1049,10.97,Chryste Gaines,2000,100m,Female
1049,10.97,Pauline Davis-Thompson,2000,100m,Female
1049,10.97,Inger Miller,2000,100m,Female
1269,10.99,Christine Arron,2000,100m,Female
1269,10.99,Gail Devers,2000,100m,Female
1269,10.99,Mary Onyali NGR,2000,100m,Female
1269,10.99,Merlene Ottey,2000,100m,Female
1269,10.99,Ekateríni Thánou,2000,100m,Female
1423,11.0,Ekateríni Thánou,2000,100m,Female
1423,11.0,Merlene Ottey,2000,100m,Female
1561,11.01,Myriam Mani,2000,100m,Female
1561,11.01,Chryste Gaines,2000,100m,Female
1561,11.01,Chandra Sturrup,2000,100m,Female
1561,11.01,Debbie Ferguson-McKenzie,2000,100m,Female
1885,11.03,Christine Arron,2000,100m,Female
1885,11.03,Carlette Guidry,2000,100m,Female
1885,11.03,Debbie Ferguson-McKenzie,2000,100m,Female
1885,11.03,Sevatheda Fynes,2000,100m,Female
2045,11.04,Lyubov Perepelova,2000,100m,Female
2045,11.04,Chandra Sturrup,2000,100m,Female
2045,11.04,Inger Miller,2000,100m,Female
2045,11.04,Sevatheda Fynes,2000,100m,Female
2045,11.04,Pauline Davis-Thompson,2000,100m,Female
2045,11.04,Susanthika Jayasinghe,2000,100m,Female
2226,11.05,Sevatheda Fynes,2000,100m,Female
2226,11.05,Inger Miller,2000,100m,Female
2226,11.05,Christine Arron,2000,100m,Female
2402,11.06,Torri Edwards,2000,100m,Female
2402,11.06,Merlene Ottey,2000,100m,Female
2402,11.06,Chryste Gaines,2000,100m,Female
2637,11.07,Chandra Sturrup,2000,100m,Female
2637,11.07,Zhanna Block,2000,100m,Female
2637,11.07,Torri Edwards,2000,100m,Female
2637,11.07,Tayna Lawrence,2000,100m,Female
2883,11.08,Debbie Ferguson-McKenzie,2000,100m,Female
2883,11.08,Inger Miller,2000,100m,Female
2883,11.08,Torri Edwards,2000,100m,Female
2883,11.08,Sevatheda Fynes,2000,100m,Female
2883,11.08,Merlene Ottey,2000,100m,Female
2883,11.08,Zhanna Block,2000,100m,Female
3127,11.09,Inger Miller,2000,100m,Female
3127,11.09,Sevatheda Fynes,2000,100m,Female
3127,11.09,Chandra Sturrup,2000,100m,Female
3127,11.09,Zhanna Block,2000,100m,Female
3127,11.09,Merlene Ottey,2000,100m,Female
3127,11.09,Torri Edwards,2000,100m,Female
3127,11.09,Chryste Gaines,2000,100m,Female
176,10.82,Zhanna Block,2001,100m,Female
538,10.91,Ekateríni Thánou,2001,100m,Female
688,10.93,Zhanna Block,2001,100m,Female
768,10.94,Zhanna Block,2001,100m,Female
856,10.95,Chandra Sturrup,2001,100m,Female
937,10.96,Zhanna Block,2001,100m,Female
937,10.96,Ekateríni Thánou,2001,100m,Female
1049,10.97,Ekateríni Thánou,2001,100m,Female
1152,10.98,Myriam Mani,2001,100m,Female
1152,10.98,Chryste Gaines,2001,100m,Female
1269,10.99,Chandra Sturrup,2001,100m,Female
1269,10.99,Zhanna Block,2001,100m,Female
1561,11.01,Zhanna Block,2001,100m,Female
1717,11.02,LaTasha Jenkins USA,2001,100m,Female
1717,11.02,Ekateríni Thánou,2001,100m,Female
1717,11.02,Zhanna Block,2001,100m,Female
1717,11.02,Chandra Sturrup,2001,100m,Female
2045,11.04,Debbie Ferguson-McKenzie,2001,100m,Female
2226,11.05,Chryste Gaines,2001,100m,Female
2226,11.05,Chandra Sturrup,2001,100m,Female
2226,11.05,Zhanna Block,2001,100m,Female
2226,11.05,Ekateríni Thánou,2001,100m,Female
2402,11.06,Mercy Nku,2001,100m,Female
2402,11.06,Debbie Ferguson-McKenzie,2001,100m,Female
2402,11.06,Chryste Gaines,2001,100m,Female
2402,11.06,Endurance Ojokolo,2001,100m,Female
2637,11.07,Zhanna Block,2001,100m,Female
2883,11.08,Chryste Gaines,2001,100m,Female
2883,11.08,Chandra Sturrup,2001,100m,Female
2883,11.08,Ekateríni Thánou,2001,100m,Female
2883,11.08,Endurance Ojokolo,2001,100m,Female
3127,11.09,Marina Kislova,2001,100m,Female
3127,11.09,Ekateríni Thánou,2001,100m,Female
203,10.83,Zhanna Block,2002,100m,Female
239,10.84,Zhanna Block,2002,100m,Female
482,10.9,Zhanna Block,2002,100m,Female
538,10.91,Zhanna Block,2002,100m,Female
538,10.91,Debbie Ferguson-McKenzie,2002,100m,Female
688,10.93,Tayna Lawrence,2002,100m,Female
768,10.94,Chryste Gaines,2002,100m,Female
856,10.95,Tayna Lawrence,2002,100m,Female
856,10.95,Chryste Gaines,2002,100m,Female
937,10.96,Chryste Gaines USA,2002,100m,Female
937,10.96,Muriel Hurtis,2002,100m,Female
1049,10.97,Zhanna Block,2002,100m,Female
1049,10.97,Debbie Ferguson-McKenzie,2002,100m,Female
1269,10.99,Tayna Lawrence,2002,100m,Female
1423,11.0,Tayna Lawrence,2002,100m,Female
1423,11.0,Chryste Gaines,2002,100m,Female
1423,11.0,Veronica Campbell-Brown,2002,100m,Female
1561,11.01,Chandra Sturrup,2002,100m,Female
1561,11.01,Veronica Campbell-Brown,2002,100m,Female
1717,11.02,Zhanna Block,2002,100m,Female
1717,11.02,Tayna Lawrence,2002,100m,Female
1885,11.03,Muriel Hurtis,2002,100m,Female
2045,11.04,Tayna Lawrence,2002,100m,Female
2226,11.05,LaTasha Jenkins,2002,100m,Female
2226,11.05,Ekateríni Thánou,2002,100m,Female
2402,11.06,Angela Williams,2002,100m,Female
2402,11.06,Muriel Hurtis,2002,100m,Female
2402,11.06,Tayna Lawrence,2002,100m,Female
2402,11.06,Chryste Gaines,2002,100m,Female
2637,11.07,Sevatheda Fynes,2002,100m,Female
2637,11.07,Ekateríni Thánou,2002,100m,Female
2883,11.08,Sturrup BAH 12.09.71,2002,100m,Female
2883,11.08,Debbie Ferguson-McKenzie,2002,100m,Female
2883,11.08,Zhanna Block,2002,100m,Female
2883,11.08,Susanthika Jayasinghe,2002,100m,Female
3127,11.09,Natasha Mayers,2002,100m,Female
3127,11.09,Mercy Nku,2002,100m,Female
3127,11.09,Tayna Lawrence,2002,100m,Female
3127,11.09,Chryste Gaines,2002,100m,Female
3127,11.09,Muriel Hurtis,2002,100m,Female
311,10.86,Chryste Gaines,2003,100m,Female
389,10.88,Chryste Gaines,2003,100m,Female
432,10.89,Chandra Sturrup,2003,100m,Female
432,10.89,Chryste Gaines,2003,100m,Female
688,10.93,Torri Edwards,2003,100m,Female
937,10.96,Chandra Sturrup,2003,100m,Female
1049,10.97,Debbie Ferguson-McKenzie,2003,100m,Female
1049,10.97,Chandra Sturrup,2003,100m,Female
1152,10.98,Chandra Sturrup,2003,100m,Female
1152,10.98,Torri Edwards,2003,100m,Female
1269,10.99,Chryste Gaines,2003,100m,Female
1269,10.99,Zhanna Block,2003,100m,Female
1561,11.01,Sturrup,2003,100m,Female
1561,11.01,Chandra Sturrup,2003,100m,Female
1561,11.01,Christine Arron,2003,100m,Female
1717,11.02,Chryste Gaines USA 14.09.70,2003,100m,Female
1717,11.02,Zhanna Block,2003,100m,Female
1717,11.02,Chandra Sturrup,2003,100m,Female
1885,11.03,Chryste Gaines,2003,100m,Female
1885,11.03,Ekateríni Thánou,2003,100m,Female
2045,11.04,Muna Lee,2003,100m,Female
2045,11.04,Christine Arron,2003,100m,Female
2226,11.05,Natalya Safronnikova,2003,100m,Female
2226,11.05,Torri Edwards,2003,100m,Female
2226,11.05,Christine Arron,2003,100m,Female
2402,11.06,Chandra Sturrup,2003,100m,Female
2402,11.06,Christine Arron,2003,100m,Female
2402,11.06,Torri Edwards,2003,100m,Female
2637,11.07,Christine Arron,2003,100m,Female
2637,11.07,Aleen Bailey,2003,100m,Female
2883,11.08,LaTasha Colander,2003,100m,Female
2883,11.08,Christine Arron FRA,2003,100m,Female
2883,11.08,Aleen Bailey,2003,100m,Female
2883,11.08,Debbie Ferguson-McKenzie,2003,100m,Female
2883,11.08,Chryste Gaines,2003,100m,Female
2883,11.08,Muriel Hurtis,2003,100m,Female
2883,11.08,Zhanna Block,2003,100m,Female
2883,11.08,Torri Edwards,2003,100m,Female
2883,11.08,Chandra Sturrup,2003,100m,Female
2883,11.08,Christine Arron,2003,100m,Female
2883,11.08,Ekateríni Thánou,2003,100m,Female
3127,11.09,Natasha Mayers,2003,100m,Female
3127,11.09,Mary Onyali,2003,100m,Female
3127,11.09,Christine Arron,2003,100m,Female
3127,11.09,Ekateríni Thánou,2003,100m,Female
